797166,MichaelMartinez,273,888,2253,7,4,0,0,web
802209,maoxian,10234,228,22273,0,430,0,0,"Tweetbot for iOS"
804607,gothick,1397,1725,32622,1754,82,0,0,Echofon
804669,matthewwanderer,669,466,15873,141,29,0,0,"Twitter for Mac"
809140,KingofShaves,7582,298,34955,440,193,0,0,TweetDeck
810662,styggiti,1226,669,18291,52,105,0,1,web
812107,cafedelabourse,3006,595,2864,9,138,5,0,web
813402,sparkycollier,3594,2853,8409,2255,165,0,0,"Twitter for iPhone"
818071,ericjackson,13332,1181,44772,811,558,10,16,"Forbes Social"
819375,Prospectus,2709,824,18223,667,94,0,1,"Tweetbot for iOS"
844741,CFMcG,1551,1889,9940,69,39,0,0,TweetDeck
844981,hailhash,61,127,943,391,3,0,2,"Twitter for iPhone"
855031,atouchstone,388,367,2582,7,17,0,0,web
963121,cape,20076,2938,4885,571,644,0,1,"Twitter for iPhone"
972961,downhillskater,1724,1476,4852,622,34,0,0,"Falcon Pro"
992031,BrandonLive,788,639,4349,5,69,0,8,web
999621,victortrac,472,327,3076,46,25,0,0,"Twitter for Android"
1007041,michaelpilla,3984,967,22117,24,245,0,0,web
1045751,ahess247,14654,1339,6882,342,717,3,7,TweetDeck
1147491,cocoy,3443,1660,86469,3125,176,0,0,"Twitter for Mac"
1157691,verone,2780,106,7524,165,64,0,0,"Twitter for Android"
1159251,shervin,43900,3657,31154,7444,1663,1,0,"Twitter for iPhone"
1236101,BenedictEvans,6839,610,27584,4327,355,3,10,"Safari on iOS"
1336231,robhof,9412,942,6185,32,340,0,1,"Tweet Button"
1374921,luke121,524,544,2188,2,20,0,0,Flipboard
1473431,jessefelder,9737,387,21212,1134,566,0,0,"StockTwits Web"
1597271,TulaneJeff,1166,2001,3696,248,28,0,0,"Tweet Button"
1621271,thomaspower,88239,89483,92752,2323,1239,0,0,"Twitter for iPad"
1634451,idea2go,168,311,1219,205,3,0,0,"StockTwits Web"
1642921,HeyThereKiller,598,562,11360,2,25,0,0,"Silver Bird"
1652541,Reuters,2792288,1056,86099,191,68754,42,2,TweetDeck
1671651,eduo,3936,969,145185,713,280,0,0,"Twitter for Mac"
1684621,niccai,481,412,7729,513,13,0,0,"Tweetbot for iOS"
1735241,richi,18216,16413,19172,13135,562,34,15,"Tweet Button"
1769191,mims,12375,3203,32597,5937,864,17,0,YoruFukurou
1781551,dbernstein,9071,1651,25915,518,496,0,5,web
1783481,DeLuCa,8797,1094,71247,36259,381,0,0,web
1808851,JimCahill,3443,3005,7291,29,152,0,0,HootSuite
1819261,Anthropic,323,1494,19057,397,11,0,0,"Tweetbot for iOS"
1832181,Chris_Ciaccia,4298,397,38715,355,172,8,0,Echofon
1909821,JoeMoreno,111905,860,12824,51,54,1,0,"Twitter for Mac"
1921151,mhauer,731,364,2163,44,40,0,0,web
1957581,freddymini,2563,99,12798,1,171,0,0,web
